descriptor,team_size,communication_mode,stratum,metric,n,mean,median
map_obstacle_ratio,8,compressed,medium,packets_per_robot,132,15.324810606060606,14.0625
map_obstacle_ratio,8,compressed,medium,map_retransmission_packets,104,0.0,0.0
map_obstacle_ratio,8,compressed,medium,retransmission_rate,104,0.0,0.0
map_obstacle_ratio,8,compressed,high,final_coverage,132,0.9968768817730254,0.997876683008138
map_obstacle_ratio,8,compressed,high,coverage_auc,132,0.848587123478092,0.850201512279293
map_obstacle_ratio,8,compressed,high,mean_robot_map_free_iou,132,0.5487434677551825,0.5399498081791885
map_obstacle_ratio,8,compressed,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,8,compressed,high,steps_to_95_conditional,132,9.340909090909092,8.0
map_obstacle_ratio,8,compressed,high,map_payload_kib,132,963.9668338660038,744.875
map_obstacle_ratio,8,compressed,high,map_payload_kib_per_robot,132,120.49585423325047,93.109375
map_obstacle_ratio,8,compressed,high,communication_packets_recorded,132,111.03787878787878,86.0
map_obstacle_ratio,8,compressed,high,packets_per_robot,132,13.879734848484848,10.75
map_obstacle_ratio,8,compressed,high,map_retransmission_packets,90,0.0,0.0
map_obstacle_ratio,8,compressed,high,retransmission_rate,89,0.0,0.0
map_obstacle_ratio,8,none,low,final_coverage,136,0.9972800842324636,0.9988145513817884
map_obstacle_ratio,8,none,low,coverage_auc,136,0.8642505156624198,0.8725229483963335
map_obstacle_ratio,8,none,low,mean_robot_map_free_iou,136,0.5313797563411,0.4933356609973111
map_obstacle_ratio,8,none,low,reached_95_rate,136,1.0,1.0
